,PC1,PC2,PC3,PC4
Basic Materials,-0.37633008962454256,-0.393476629521329,-0.08374894618532172,-0.15883730325192502
Capital Goods,-0.3850706734097201,-0.13159725109523415,-0.17325048750576447,-0.3970183576589555
Consumer,-0.253231647226013,0.18310246699473873,0.8789913444542196,0.022125651744372477
Energy,-0.4569166533211784,-0.41106045637938604,-0.08355084490098764,0.13719168350773187
Finance,-0.44287643987271685,-0.022723736932293785,0.21335523208524554,0.07823922818275843
Healthcare,-0.2514572116871741,0.6530909766206069,-0.14966402083750968,-0.5189284604474281
Technology,-0.39233931364786107,0.38824044139046365,-0.3228202920441193,0.36686153736381355
Utilities,-0.15458569644843234,0.2181427537458806,-0.10597707363343369,0.6227684327281932
