sector,Basic Materials,Capital Goods,Consumer,Energy,Finance,Healthcare,Technology,Utilities
Basic Materials,1.0,0.2789153814162468,0.09413204407453526,0.3210902404736695,0.2894819264882775,0.04063527765160676,0.17588380041688054,0.028512722225851318
Capital Goods,0.2789153814162468,1.0,0.09565965800116014,0.2886891804514977,0.29043796163825675,0.14552994816837173,0.23997150409533682,0.012862589101365634
Consumer,0.09413204407453526,0.09565965800116014,1.0,0.09121451983025308,0.2985063133881817,0.09514403081309909,0.10435925695909153,0.04298707818787933
Energy,0.3210902404736695,0.2886891804514977,0.09121451983025308,1.0,0.3994912134371294,0.06341862440140476,0.17169508566075437,0.12272630681282706
Finance,0.2894819264882775,0.29043796163825675,0.2985063133881817,0.3994912134371294,1.0,0.18517058865440789,0.2598884801493948,0.16472942851143949
Healthcare,0.04063527765160676,0.14552994816837173,0.09514403081309909,0.06341862440140476,0.18517058865440789,1.0,0.2161105828029637,0.10103824147572131
Technology,0.17588380041688054,0.23997150409533682,0.10435925695909153,0.17169508566075437,0.2598884801493948,0.2161105828029637,1.0,0.19723576284135738
Utilities,0.028512722225851318,0.012862589101365634,0.04298707818787933,0.12272630681282706,0.16472942851143949,0.10103824147572131,0.19723576284135738,1.0
