mode,factor_interpretation,eigenvalue,variance_share,cumulative_share
1,market-wide default-risk factor,0.8060552822149832,0.2903709760145377,0.2903709760145377
2,sector-rotation factor,0.40225054057705095,0.14490554760558153,0.43527652362011926
3,higher-order diagnostic,0.3539208412098671,0.12749539933736947,0.5627719229574888
4,higher-order diagnostic,0.3000688808725306,0.10809592807470486,0.6708678510321937
5,higher-order diagnostic,0.28070961152463675,0.10112200201838137,0.7719898530505751
6,higher-order diagnostic,0.2416538367186066,0.08705266496464031,0.8590425180152155
7,higher-order diagnostic,0.21624157385729756,0.07789822638879057,0.9369407444040061
8,higher-order diagnostic,0.17504933434928105,0.06305925559599422,1.0000000000000002
