sector,Basic Materials,Capital Goods,Consumer,Energy,Finance,Healthcare,Technology,Utilities
Basic Materials,1.0,0.2969430010406789,0.1240981856665249,0.3537734089062219,0.3329369386220514,0.047375605215307114,0.1876785967186598,0.02780991998006296
Capital Goods,0.2969430010406789,1.0,0.13663432090152824,0.28181760397126293,0.31485147343969494,0.12836555088544888,0.22657679100959557,0.007608049098247253
Consumer,0.1240981856665249,0.13663432090152824,1.0,0.13298128409197574,0.3138667462021562,0.14252322757407074,0.147851600779539,0.060144820951955315
Energy,0.3537734089062219,0.28181760397126293,0.13298128409197574,1.0,0.43091576686021427,0.1054562425302202,0.1877153670868822,0.14436788590360494
Finance,0.3329369386220514,0.31485147343969494,0.3138667462021562,0.43091576686021427,1.0,0.20393514690905637,0.2635914442180071,0.1565880902569531
Healthcare,0.047375605215307114,0.12836555088544888,0.14252322757407074,0.1054562425302202,0.20393514690905637,1.0,0.23504125400381362,0.08358258457148728
Technology,0.1876785967186598,0.22657679100959557,0.147851600779539,0.1877153670868822,0.2635914442180071,0.23504125400381362,1.0,0.18527200015653428
Utilities,0.02780991998006296,0.007608049098247253,0.060144820951955315,0.14436788590360494,0.1565880902569531,0.08358258457148728,0.18527200015653428,1.0
