R,train_log_likelihood,train_aic,holdout_log_score,sigma_eps_common,pc_variance_share,delta_holdout_log_score,selected_main_specification
1,-5409.218201801312,10856.436403602624,-712.6459164464823,0.5009528425496768,0.28553869433307516,-56.03974461440839,False
2,-5108.789551724788,10275.579103449576,-692.563826024134,0.44669961669682084,0.4319112648570611,-35.95765419206009,True
3,-4900.4584106838265,9878.916821367653,-667.8048056125022,0.3918981508807473,0.5627483670399029,-11.198633780428281,False
4,-4709.467908240891,9516.935816481782,-656.6061718320739,0.3379806932490592,0.6747863343942693,0.0,False
