model,mean_log_score,rmse_rate,mean_predicted_rate,mean_observed_rate,n_forecasts
B0 = Binomial-best static baseline,-6.193749857319709,0.00111672487019567,0.003462618424213341,0.0036576142245162853,248.0
B1 = Beta-Binomial-best static baseline,-4.5507307484793955,0.0011167248701956702,0.003462618424213341,0.0036576142245162853,248.0
B2 = One-factor dynamic common-eps model,-5.988094422297498,0.0010787939978078973,0.0038485139010140186,0.0036576142245162853,248.0
B3 = Two-factor dynamic common-eps model,-6.016924284643388,0.0010788757073838928,0.0038445361995910585,0.0036576142245162853,248.0
